id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46755418,Stunning Apartment near Bondi with infinity pool,51932849,James,,Waverley,-33.89171,151.25185,Entire home/apt,250,90,0,,,1,0,0,
46755737,Lucy Liu,105505077,Matt,,Manly,-33.79649,151.2873,Entire home/apt,300,90,3,2021-02-20,0.32,1,0,3,
46756526,Central park,325426885,绍森,,Sydney,-33.88529,151.20162,Entire home/apt,473,90,0,,,1,365,0,
46757288,Modern Suite in Sydney's Eastern Suburbs,9976719,Sarah,,Randwick,-33.92047,151.24326,Entire home/apt,120,2,10,2021-09-27,1.01,1,164,10,PID-STRA-1347-6
46757765,Best Beach House in Bondi,4205284,Danielle,,Waverley,-33.88377,151.28257,Entire home/apt,1029,3,1,2021-05-31,0.19,1,156,1,PID-STRA-20883
46758414,Elvina Bay Beach House- L'Abode Accommodation🏖,7409213,L'Abode Accommodation Specialist,,Pittwater,-33.6365,151.27691,Entire home/apt,1278,1,1,2021-04-08,0.14,102,295,1,PID-STRA-15289
46759063,"one house, 1 step from Bondi beach",97555787,Alex,,Waverley,-33.89717,151.27399,Private room,60,90,0,,,1,0,0,
46759418,Peaceful oasis in the heart of Neutral Bay,1563154,Ariel,,North Sydney,-33.82654,151.22286,Entire home/apt,195,3,2,2021-08-04,0.28,1,313,2,PID-STRA-21034
46759751,Cheap apartment for Christmas!!!,299208432,Diego,,Rockdale,-33.93021,151.14887,Entire home/apt,180,90,0,,,1,0,0,
46762719,ELEGANT ART DECO -Edgecliff -hosted by L'abode,7409213,L'Abode Accommodation Specialist,,Woollahra,-33.87755,151.23723,Entire home/apt,220,1,0,,,102,210,0,PID-STRA-10832-1
46763215,SKY HIGH-Longterm 30+nights stay discount:LAbode🏖,7409213,L'Abode Accommodation Specialist,,Sydney,-33.86824,151.20524,Entire home/apt,250,21,0,,,102,152,0,PID-STRA-16452
46777015,**TOP STAR LOCATION** Renovated Studio- AC-balcony,215158027,Peter & Stephanie,,Sydney,-33.8758,151.21374,Entire home/apt,109,2,22,2021-10-08,2.55,10,78,22,PID-STRA-24516
46778109,Private room in Drummoyne,78068253,Elena,,Canada Bay,-33.85929,151.1496,Private room,34,1,20,2021-10-24,1.81,3,228,20,PID-STRA-9961
46778585,ATCH3 - Atchison Street - St Leonards,15739069,The Apartment Service,,Lane Cove,-33.82369,151.19651,Entire home/apt,169,7,0,,,96,298,0,PID-STRA-14931
46778769,Quiet and comfortable,192978912,Roger,,Liverpool,-33.88763,150.83947,Private room,180,90,0,,,1,364,0,
46780221,Bondi Beach luxury living 792,14739318,Anna,,Waverley,-33.88785,151.26591,Private room,197,90,0,,,7,0,0,
46780256,New York Warehouse-Style with Rooftop Lap Pool,270132187,Ween,,Sydney,-33.8969,151.21387,Entire home/apt,102,2,7,2021-08-29,0.64,37,30,7,PID-STRA-22700
46780749,PROS - Mosman Tranquility Garden Apartment #2,16357713,PropertyProviders,,Mosman,-33.83583,151.2369,Entire home/apt,450,7,0,,,87,54,0,PID-STRA-19481
46780888,Minimalist Beachside 2bdr Apartment in Bondi,6414893,Morgan,,Waverley,-33.88995,151.27409,Entire home/apt,150,90,0,,,3,0,0,
46780898,LIGHT FILLED STUDIO APARTMENT WITH VIEWS,123385422,Neil,,Sydney,-33.87006,151.22796,Entire home/apt,150,90,0,,,1,0,0,
46782723,Superb 3br in Great Location; Next Train & Parking,251905190,Brody,,Sutherland Shire,-34.01639,151.06426,Entire home/apt,219,2,22,2021-09-25,2.06,13,130,22,PID-STRA-17094
46783536,Newly decorated unit near train station,87595494,Liujia,,Ku-Ring-Gai,-33.76906,151.16024,Entire home/apt,45,90,0,,,1,0,0,
46792333,Blissful Beachside Bungalow Minutes from the Sand,347608321,Calyn,,Manly,-33.788315,151.285614,Entire home/apt,337,2,10,2021-02-27,1.36,19,56,10,PID-STRA-14008
46794306,Throw to the beach,281536456,Tyson,,Randwick,-33.946,151.2568,Entire home/apt,200,90,0,,,1,0,0,
46798287,Canterbury,312188090,Batmunkh,,Canterbury,-33.91065,151.11627,Shared room,350,90,0,,,1,365,0,
46798654,"Peaceful, the perfect place to retreat and relax",48282003,Karen,,Fairfield,-33.85304,150.93707,Private room,50,2,5,2021-05-10,0.46,1,114,5,PID-STRA-7876
46800871,Blue Twin Suite / A stone's throw to Bondi Beach,375054030,Manager,,Waverley,-33.88865,151.27029,Private room,211,1,0,,,6,364,0,Exempt
46801029,2 bedrooms apartment 2 minutes walk to the beach,22485872,Sara,,Manly,-33.78874,151.28678,Entire home/apt,139,90,0,,,1,13,0,
46801836,The Arden 5 Coogee New Quiet Beachside Balc Apt,2450066,Hotelesque,,Randwick,-33.917789,151.257675,Entire home/apt,230,5,3,2021-10-30,0.60,77,297,3,PID-STRA-18026
46802217,Ultimate 2bedroom APT at Kogarah  stunning view speedy wifi,262881675,Kevin,,Rockdale,-33.97996,151.1391,Entire home/apt,140,1,7,2021-10-14,0.66,4,38,7,PID-STRA-16776
46802673,Coogee by the Coast  - Brand New,2450066,Hotelesque,,Randwick,-33.91689,151.25679,Entire home/apt,315,5,1,2021-05-10,0.16,77,331,1,PID-STRA-19145
46802931,Relaxing Newport Beach Apartment,284622494,Rebecca,,Pittwater,-33.65297,151.32164,Entire home/apt,220,3,4,2021-04-04,0.45,1,54,4,PID-STRA-38740
46803637,Renovated cottage in leafy heritage precinct,378192749,John,,Sydney,-33.8953,151.20978,Entire home/apt,135,90,4,2021-03-13,0.51,1,0,4,
46803918,Walk to Maroubra beach,22346723,Gabriela,,Randwick,-33.94109,151.25818,Entire home/apt,350,90,0,,,1,90,0,
46804817,PENTHOUSE EXTRAORDINAIRE,41215678,Julia,,Sydney,-33.8759,151.21589,Entire home/apt,1040,90,0,,,44,179,0,
46805402,"Historic 1910 Workers Cottage, step back in time!",104976842,Sharmaine,,Marrickville,-33.90725,151.15876,Entire home/apt,140,2,14,2021-03-03,1.28,1,326,14,PID-STRA-2937-1
46805604,Lovely Studio in front of Bondi Beach,377678846,Agostina,,Waverley,-33.88931,151.27995,Entire home/apt,89,90,4,2021-02-13,0.39,1,0,4,
46805698,The Beach room,18757247,Hannah,,Sutherland Shire,-34.05753,151.1102,Entire home/apt,157,2,15,2021-11-01,1.39,2,109,15,PID-STRA-6527
46807901,"""Modern 2 Bdm Apt Large Deck & City Skyline Views""",167501027,Julie,,Sydney,-33.88609,151.17648,Entire home/apt,174,2,11,2021-05-23,1.16,1,22,11,PID-STRA-10761-5
46807998,Practical and functional 1 bedroom apartment.,342786593,Jaciara,,Sydney,-33.8682,151.20525,Entire home/apt,140,90,1,2020-12-12,0.09,1,0,1,
46810688,Incredible Panoramic Views of Coogee,167072223,First Hand,,Randwick,-33.92549,151.25691,Entire home/apt,330,90,4,2021-03-08,0.36,45,0,4,
46812445,2-Bed Unit With Balcony and BBQ Metres From Beach,279001183,MadeComfy,,Warringah,-33.72142,151.29597,Entire home/apt,147,90,6,2021-09-22,0.56,188,216,6,
46817011,Immaculate 1 bedroom in the heart of Dee Why beach,59528800,Debora,,Warringah,-33.756,151.28386,Entire home/apt,160,90,0,,,1,0,0,
46817170,Charming home with seaviews and private courtyard,31703186,Nadja,,Randwick,-33.92682,151.25562,Entire home/apt,406,2,4,2021-09-30,0.66,1,159,4,PID-STRA-18529-2
46820764,Accommodation Sydney Darling Harbour 1 bedroom apt,70570922,Inna,,Sydney,-33.87628,151.20446,Entire home/apt,129,2,0,,,45,23,0,Exempt
46820850,Stunning Cronulla apartment walk to beach and mall,163277099,Kylee,,Sutherland Shire,-34.04823,151.15359,Entire home/apt,289,1,20,2021-03-02,2.31,6,17,20,PID-STRA-39037
46822547,Spacious room & ensuite up to 4- walk to bus stop,33706984,Jingjing,,Hornsby,-33.74751,151.05279,Private room,45,1,0,,,5,90,0,PID-STRA-1099
46823476,Aircon Cozy stuido near Sydney center 106,374847252,Xiaoyan,,Leichhardt,-33.86389,151.17283,Entire home/apt,49,1,11,2021-07-31,1.14,4,86,11,PID-STRA-4526
46824019,Panoramic Ocean Views of Bronte Beach!,6549359,Beth,,Waverley,-33.90137,151.26769,Entire home/apt,320,90,0,,,1,171,0,
46824419,Paddington Loft with style,4011379,Rhys,,Woollahra,-33.88657,151.23531,Entire home/apt,165,90,0,,,1,0,0,
46825725,The white house,37211444,Heidi,,Willoughby,-33.80763,151.22727,Entire home/apt,850,90,0,,,2,0,0,
46835543,Cozy and simple beachside home,24758310,Barbora,,Woollahra,-33.87206,151.27251,Entire home/apt,163,90,0,,,1,0,0,
46835621,Magnolia Mansion,100552972,Home Hostess,,Pittwater,-33.65298,151.31677,Entire home/apt,3750,7,0,,,21,50,0,PID-STRA-23144
46835731,"Large, character filled family home in Bayview",57174879,Caroline,,Pittwater,-33.65965,151.29306,Entire home/apt,301,90,1,2021-02-23,0.12,1,0,1,
46835865,The secret retreat opposite Jonah's,100552972,Home Hostess,,Pittwater,-33.60715,151.32875,Entire home/apt,608,2,5,2021-10-29,0.52,21,0,5,PID-STRA-26398
46838911,PRIVATE ROOMS IN A RANDWICK - COOGEE SHARED HOUSE,378401107,Yury,,Randwick,-33.91713,151.24069,Private room,40,91,2,2021-05-09,0.24,3,0,2,
46839753,Beautiful country retreat,143427903,Marie,,Hornsby,-33.61356,151.09982,Entire home/apt,126,2,16,2021-06-13,1.48,1,336,16,PID-STRA-6087-2
46841651,Tranquil Garden Apartment,355160482,Robyn,,Warringah,-33.78593,151.26318,Entire home/apt,168,2,33,2021-06-26,2.99,1,130,33,PID-STRA-24664
46842052,New secluded hidden gem close to Maroubra beach,15449961,Louise,,Randwick,-33.94311,151.25588,Entire home/apt,261,3,11,2021-07-04,1.29,1,280,11,PID-STRA-12050
46843154,Spacious private apartment,22546295,Li,,Sydney,-33.913,151.2102,Private room,104,90,2,2021-03-14,0.23,1,180,2,
46843244,Spacious Self contained apartment in Redfern,161661016,Eli,,Sydney,-33.89389,151.20014,Entire home/apt,110,90,0,,,1,90,0,
46853209,Chic living on Manly Beach,236402667,Salli,,Manly,-33.79925,151.28861,Entire home/apt,379,2,27,2021-02-26,2.54,1,146,27,PID-STRA-8062-1
46854388,"""Designer Gem""  Summertime close to Sydney Harbour",346844398,Elizabeth,,North Sydney,-33.83584,151.21879,Entire home/apt,187,4,0,,,1,37,0,PID-STRA-9680
46855231,Bondi Village and High Ceilings,229913592,Matthew,,Waverley,-33.89301,151.27168,Entire home/apt,400,90,0,,,2,0,0,
46855284,Avalon Beach Family Home,4123671,Sarah,,Pittwater,-33.62755,151.33017,Entire home/apt,450,5,1,2021-04-06,0.14,1,1,1,PID-STRA-25130
