id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29642219,Men’ floor! ☆Guest house☆Ryoma Ikebukuro,222957317,楓子,,Toshima Ku,35.7346,139.71268,Hotel room,4206,1,146,2021-12-04,3.92,3,88,29,Hotels and Inns Business Act | 東京都豊島区保健所 | 2豊池保衛環き第28号
29642799,Women’s floor!☆Guest house☆Ryoma Ikebukuro,222957317,楓子,,Toshima Ku,35.73427,139.71421,Hotel room,4206,1,132,2021-11-20,3.54,3,88,11,Hotels and Inns Business Act | 東京都豊島区保健所 | 2豊池保衛環き第28号
29643030,Sun Hotel Tokyo Double Bed Apartment,210478015,渟蓉Teresa,,Adachi Ku,35.74495,139.79162,Entire home/apt,6600,2,19,2021-08-13,0.55,5,248,1,Hotels and Inns Business Act | 足立区足立保健所 | 30足足保生生収第514号
29643197,15ppl★Whole house in Asakusa [Ryouma Asakusa],223061212,理江子,,Sumida Ku,35.708443,139.800323,Entire home/apt,30571,1,4,2021-12-12,0.11,3,34,2,Hotels and Inns Business Act | 東京都墨田区保健所 | 30墨福衛生環第175号
29650375,F2 Iimura-tei Asakusa to start Tokyo story 飯村亭浅草屋語,15028041,Ray,,Taito Ku,35.71582,139.79129,Entire home/apt,20000,1,13,2020-01-06,0.34,13,173,0,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第163号
29651156,F3 Iimura-tei Asakusa Tokyo  浅草寺秋叶原PRICE DOWN,15028041,Ray,,Taito Ku,35.7167,139.79344,Entire home/apt,22000,1,20,2021-01-01,0.52,13,81,1,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第163号
29658510,Designer’s House 102 Direct to Akihabara/Asakusa,206722777,Nursing,,Adachi Ku,35.74448,139.80332,Entire home/apt,17571,1,65,2021-11-02,1.72,2,88,19,M130027686
29662359,"繁華な新宿の夜景が綺麗です
新宿徙步圏内，中野坂上駅2分,
Quiet&near/Shinjuku",222943847,Joan,,Nakano Ku,35.69515,139.68414,Private room,35000,5,17,2019-05-24,0.45,3,89,0,M130009517
29665054,"Tokyo Haneda Airport,  Double Room",195984871,Mars,,Ota Ku,35.5585,139.73873,Entire home/apt,9797,2,16,2021-08-11,0.43,9,126,1,Special Economic Zoning Act | 30健生発第10940号
29666885,"Feel local living at shitamachi, Tokyo",9360394,Vann Amor,,Adachi Ku,35.79263,139.79258,Private room,9643,7,1,2018-12-31,0.03,4,362,0,M130008486
29667034,Discount! 3min→Shinjuku! Spacious 1BD! +Wifi,63173718,Ko,,Shinjuku Ku,35.69058,139.70333,Entire home/apt,15245,1,77,2021-12-03,2.04,2,86,22,M130008848
29685222,池袋駅圏内のマンションで三密回避 家具家電付きのお部屋で自炊も可能 !,63215120,Haru,,Toshima Ku,35.7342,139.72002,Entire home/apt,3429,2,49,2021-12-14,1.29,4,16,3,M130008882
29694444,ピラネハウス,219770746,Pirane HOUSE,,Sumida Ku,35.7172,139.80958,Private room,7014,2,76,2021-12-20,2.00,1,87,19,Hotels and Inns Business Act | 東京都　墨田区保健所 | 31墨福衛生環第218号
29709697,Guesthouse Sensu Triple Room,86175034,俊行 Toshiyuki,,Ota Ku,35.5529,139.73948,Hotel room,12286,1,2,2019-11-03,0.06,7,78,0,Hotels and Inns Business Act | 大田区保健所 | 保生環第0508号
29710516,Guesthouse Sensu Bunk Bed in 8-Bed Male Dormitory,86175034,俊行 Toshiyuki,,Ota Ku,35.55257,139.74162,Hotel room,3657,1,1,2020-03-23,0.05,7,81,0,Hotels and Inns Business Act | 大田区保健所 | 保生環第0508号
29720819,Nestle Tokyo Deluxe Akihabara 03,191517619,Sea,,Chiyoda Ku,35.69817,139.77951,Entire home/apt,48857,1,26,2019-11-27,0.68,5,0,0,M130009504
29733503,NEW OPEN! Shinjuku House!,75890128,Tomo,,Shinjuku Ku,35.70279,139.69714,Entire home/apt,8000,1,65,2020-10-05,1.70,1,0,0,Hotels and Inns Business Act | 東京都新宿区保健所 | 78新保衛環197号
29742893,Theatel Haneda/6min ride to Haneda Airport/Double,203667442,Theatel,,Ota Ku,35.54717,139.74942,Private room,9864,1,8,2021-12-07,0.23,5,154,3,Hotels and Inns Business Act | 大田区保健所長 西田 みちよ | 保生環第0132号
